variant,metric,mean,std,seeds
colbertv2,all_recall@10,100.0,0.0,3
colbertv2,all_recall@5,68.19716407832546,0.0,3
colbertv2,answer_support_rate,79.63538149898717,0.0,3
colbertv2,avg_retrieval_tokens,438.21404456448346,0.0,3
colbertv2,em,79.63538149898717,0.0,3
colbertv2,f1,79.84400128960641,0.0,3
colbertv2,gold_rank,1.2461850101282916,0.0,3
colbertv2,latency_seconds,0.0,0.0,3
colbertv2,mrr,0.9238724371134904,0.0,3
colbertv2,recall@10,100.0,0.0,3
colbertv2,recall@5,83.60567184334909,0.0,3
controller_dense_hkvm,all_recall@10,100.0,0.0,3
controller_dense_hkvm,all_recall@5,79.77942831420212,0.3251041203739395,3
controller_dense_hkvm,answer_support_rate,85.62682871933379,0.1268422489633632,3
controller_dense_hkvm,avg_retrieval_tokens,440.5027683997299,2.0416310555451442,3
controller_dense_hkvm,em,85.62682871933379,0.1268422489633632,3
controller_dense_hkvm,f1,85.80995577899812,0.12129080936185492,3
controller_dense_hkvm,gold_rank,1.205986945757371,0.0198523193317683,3
controller_dense_hkvm,latency_seconds,0.0,0.0,3
controller_dense_hkvm,mrr,0.927960015576491,0.005933494406703496,3
controller_dense_hkvm,recall@10,100.0,0.0,3
controller_dense_hkvm,recall@5,89.63988296196264,0.1630188517869155,3
controller_dense_only,all_recall@10,100.0,0.0,3
controller_dense_only,all_recall@5,67.4004051316678,0.09612494487536322,3
controller_dense_only,answer_support_rate,79.67139320279091,0.1126265676632591,3
controller_dense_only,avg_retrieval_tokens,454.000180058519,3.0992053007644875,3
controller_dense_only,em,79.67139320279091,0.1126265676632591,3
controller_dense_only,f1,79.90938620459926,0.11646721060590076,3
controller_dense_only,gold_rank,1.2477605221697052,0.0010822250983723838,3
controller_dense_only,latency_seconds,0.0,0.0,3
controller_dense_only,mrr,0.9238131142621352,3.903728199094318e-05,3
controller_dense_only,recall@10,100.0,0.0,3
controller_dense_only,recall@5,83.14877335133919,0.03752719333903292,3
controller_hkvm_only,all_recall@10,100.0,0.0,3
controller_hkvm_only,all_recall@5,74.09858203916272,0.0902540520178441,3
controller_hkvm_only,answer_support_rate,82.70537924825568,0.08912441986596388,3
controller_hkvm_only,avg_retrieval_tokens,439.32437542201217,0.5220701163112698,3
controller_hkvm_only,em,82.70537924825568,0.08912441986596388,3
controller_hkvm_only,f1,82.92909204350202,0.09222155096665813,3
controller_hkvm_only,gold_rank,1.4383074499212245,0.006606884173828664,3
controller_hkvm_only,latency_seconds,0.0,0.0,3
